calendar_quarter,period_end,operating_cash_flow_usd_m,cash_capex_usd_m,free_cash_flow_usd_m,capex_to_ocf_pct,cash_plus_marketable_securities_usd_m,long_term_debt_usd_m
2023 Q1,2023-03-31,23509,6289,17220,26.8,115000,
2023 Q2,2023-06-30,28666,6888,21778,24.0,118000,
2023 Q3,2023-09-30,30656,8055,22601,26.3,120000,
2023 Q4,2023-12-31,18915,11019,7896,58.3,110916,
2024 Q1,2024-03-31,28848,12012,16836,41.6,108000,
2024 Q2,2024-06-30,26640,13186,13454,49.5,101000,
2024 Q3,2024-09-30,30698,13061,17637,42.5,93230,
2024 Q4,2024-12-31,39113,14276,24837,36.5,95657,10883.0
2025 Q1,2025-03-31,36150,17197,18953,47.6,95328,
2025 Q2,2025-06-30,27747,22446,5301,80.9,95148,23607.0
2025 Q3,2025-09-30,48500,24000,24500,49.5,98500,
2025 Q4,2025-12-31,52400,27900,24500,53.2,126800,46500.0
2026 Q1,2026-03-31,45800,35700,10100,77.9,126800,77500.0
2026 Q2,2026-06-30,39100,44900,-5800,114.8,242500,98200.0
