calendar_quarter,period_end,operating_cash_flow_usd_m,cash_capex_net_usd_m,free_cash_flow_usd_m,capex_to_ocf_pct,cash_plus_marketable_securities_usd_m
2023 Q1,2023-03-31,4788,13070,-8282,273.0,
2023 Q2,2023-06-30,16476,10412,6064,63.2,
2023 Q3,2023-09-30,21217,11298,9919,53.2,
2023 Q4,2023-12-31,42465,13353,29112,31.4,
2024 Q1,2024-03-31,18989,13900,5089,73.2,
2024 Q2,2024-06-30,25281,16400,8881,64.9,
2024 Q3,2024-09-30,25971,21300,4671,82.0,
2024 Q4,2024-12-31,45636,26058,19578,57.1,101200.0
2025 Q1,2025-03-31,17015,24300,-7285,142.8,
2025 Q2,2025-06-30,32515,31400,1115,96.6,
2025 Q3,2025-09-30,35525,34200,1325,96.3,94200.0
2025 Q4,2025-12-31,54459,38420,16039,70.5,123000.0
2026 Q1,2026-03-31,26032,43200,-17168,165.9,143100.0
2026 Q2,2026-06-30,45387,53100,-7713,117.0,123000.0
