fiscal_quarter,period_end,revenue_usd_m,ai_semiconductor_revenue_usd_m,operating_cash_flow_usd_m,cash_capex_usd_m,free_cash_flow_usd_m,ocf_margin_pct,fcf_margin_pct,capex_to_ocf_pct
FY23 Q1,2023-01-29,8915,,4036,103,3933,45.3,44.1,2.6
FY23 Q2,2023-04-30,8733,,4502,122,4380,51.6,50.2,2.7
FY23 Q3,2023-07-30,8876,,4719,122,4597,53.2,51.8,2.6
FY23 Q4,2023-10-29,9295,,4828,105,4723,51.9,50.8,2.2
FY24 Q1,2024-02-04,11961,,4815,122,4693,40.3,39.2,2.5
FY24 Q2,2024-05-05,12487,3100.0,4580,132,4448,36.7,35.6,2.9
FY24 Q3,2024-08-04,13072,,4963,172,4791,38.0,36.7,3.5
FY24 Q4,2024-11-03,14054,,5604,122,5482,39.9,39.0,2.2
FY25 Q1,2025-02-02,14916,,6113,100,6013,41.0,40.3,1.6
FY25 Q2,2025-05-04,15004,,6555,144,6411,43.7,42.7,2.2
FY25 Q3,2025-08-03,15952,5200.0,7166,142,7024,44.9,44.0,2.0
FY25 Q4,2025-11-02,18015,,7703,237,7466,42.8,41.4,3.1
FY26 Q1,2026-02-01,19311,,8260,250,8010,42.8,41.5,3.0
FY26 Q2,2026-05-03,22187,10800.0,10493,231,10262,47.3,46.3,2.2
