calendar_quarter,period_end,operating_cash_flow_usd_m,cash_capex_usd_m,free_cash_flow_before_finance_lease_principal_usd_m,capex_to_ocf_pct
2023 Q1,2023-03-31,13998,6823,7175,48.7
2023 Q2,2023-06-30,17309,6134,11175,35.4
2023 Q3,2023-09-30,20402,6496,13906,31.8
2023 Q4,2023-12-31,19404,7592,11812,39.1
2024 Q1,2024-03-31,19246,6400,12846,33.3
2024 Q2,2024-06-30,19370,8173,11197,42.2
2024 Q3,2024-09-30,24724,8258,16466,33.4
2024 Q4,2024-12-31,27988,14425,13563,51.5
2025 Q1,2025-03-31,24026,12941,11085,53.9
2025 Q2,2025-06-30,25561,16538,9023,64.7
2025 Q3,2025-09-30,29999,18829,11170,62.8
2025 Q4,2025-12-31,36214,21383,14831,59.0
2026 Q1,2026-03-31,32226,18997,13229,58.9
2026 Q2,2026-06-30,31862,30116,1746,94.5
