fiscal_quarter,period_end,operating_cash_flow_usd_m,cash_capex_usd_m,free_cash_flow_usd_m,capex_to_ocf_pct,cash_usd_m,cash_plus_short_term_investments_usd_m,total_debt_usd_m,qoq_change_total_debt_usd_m
FY23 Q1,2022-09-30,23198,6283,16915,27.1,22884,107262,48622,
FY23 Q2,2022-12-31,11173,6274,4899,56.2,15646,99508,48116,-506.0
FY23 Q3,2023-03-31,24441,6607,17834,27.0,26562,104427,48210,94.0
FY23 Q4,2023-06-30,28770,8943,19827,31.1,34704,111262,47237,-973.0
FY24 Q1,2023-09-30,30583,9917,20666,32.4,80452,143951,71502,24265.0
FY24 Q2,2023-12-31,18853,9735,9118,51.6,17305,81017,74219,2717.0
FY24 Q3,2024-03-31,31917,10952,20965,34.3,19634,80021,65442,-8777.0
FY24 Q4,2024-06-30,37195,13873,23322,37.3,18315,75543,51630,-13812.0
FY25 Q1,2024-09-30,34180,14923,19257,43.7,20840,78428,45117,-6513.0
FY25 Q2,2024-12-31,22291,15804,6487,70.9,17482,71555,44970,-147.0
FY25 Q3,2025-03-31,37044,16745,20299,45.2,28828,79618,42881,-2089.0
FY25 Q4,2025-06-30,42647,17079,25568,40.0,30242,94565,43151,270.0
FY26 Q1,2025-09-30,45057,19394,25663,43.0,28849,102012,43208,57.0
FY26 Q2,2025-12-31,35758,29876,5882,83.6,24296,89462,40262,-2946.0
FY26 Q3,2026-03-31,46679,30876,15803,66.1,32105,78272,40262,0.0
